2020-01-01,8,494,280.69120109834347,0.5682008119399665,165,236,93
2020-01-02,14,500,226.4648576942573,0.45292971538851456,131,178,191
2020-01-03,8,199,114.23099422391448,0.5740250966025853,71,90,38
2020-01-04,3,176,100.00468122913723,0.5682084160746433,61,85,30
2020-01-05,4,241,137.92299169821501,0.572294571361888,87,101,53
2020-01-06,4,424,232.55600104762354,0.5484811345462819,154,160,110
2020-01-07,2,201,147.06725514973195,0.7316778863170744,123,58,20
2020-01-08,7,181,116.81986207845868,0.6454136026434182,88,67,26
2020-01-09,6,120,72.04624586952495,0.6003853822460413,50,46,24
2020-01-10,6,86,55.98566945144951,0.6509961564122037,45,25,16
2020-01-11,11,425,299.0702496267563,0.7036947050041326,239,127,59
2020-01-12,2,74,39.82099724505055,0.538121584392575,22,39,13
2020-01-13,3,39,26.17866078258259,0.6712477123739126,22,10,7
2020-01-14,9,198,117.67641301908508,0.5943253182782074,79,85,34
2020-01-15,9,534,322.1630411838843,0.6033015752507196,241,178,115
2020-01-16,6,513,286.9214696828459,0.559301110492877,194,190,129
2020-01-17,4,107,52.919591875921284,0.49457562500861013,26,59,22
2020-01-18,8,265,146.89545693146454,0.5543224789866587,84,124,57
2020-01-19,24,682,382.4081385081461,0.5607157456131174,252,268,162
2020-01-20,64,1326,738.9637526087431,0.5572878978949797,527,443,356
2020-01-21,162,5116,2715.624023986011,0.5308100125070389,1890,1643,1583
2020-01-22,264,10709,5979.834256261341,0.5583933379644542,4480,3082,3147
2020-01-23,345,13585,7591.1133333722155,0.5587864065787423,5554,4110,3921
2020-01-24,327,11011,6731.730487904443,0.6113641347656383,5189,3250,2572
2020-01-25,346,12794,8068.6985231076715,0.6306626952561881,6477,3430,2887
2020-01-26,292,11714,7009.450226197811,0.5983822969265675,5438,3357,2919
2020-01-27,295,9292,5458.336382128486,0.5874232008317354,4217,2590,2485
2020-01-28,351,12192,7276.390209428181,0.5968167822693718,5593,3516,3083
2020-01-29,364,11349,6824.0192996712585,0.6012881575179538,5303,3245,2801
2020-01-30,353,11759,6643.51911885988,0.564973137074571,4919,3526,3314
2020-01-31,455,15168,8627.713954532333,0.568810255441214,6547,4286,4335
