日期					积极	中立	消极	积极	中立	消极
2020/3/7	125	3741	2290.875852	0.612369915	1797	1039	905	48%	28%	24%
2020/3/8	130	4956	3131.870136	0.631935056	2455	1461	1040	50%	29%	21%
2020/3/9	192	7488	4882.901965	0.65209695	3936	2132	1420	53%	28%	19%
2020/3/10	237	8941	5685.294132	0.635867815	4499	2560	1882	50%	29%	21%
2020/3/11	241	9263	5660.177519	0.611052307	4363	2785	2115	47%	30%	23%
2020/3/12	255	10126	6397.876782	0.631826662	5110	2787	2229	50%	28%	22%
2020/3/13	238	11336	7332.692	0.646850035	5939	3104	2293	52%	27%	20%
2020/3/14	182	9121	5661.569074	0.620718022	4376	2766	1979	48%	30%	22%
2020/3/15	147	9791	5908.19024	0.603430726	4619	2750	2422	47%	28%	25%
2020/3/16	216	9761	6348.090232	0.650352447	5087	2773	1901	52%	28%	19%
2020/3/17	259	9318	5923.497103	0.635704776	4697	2712	1909	50%	29%	20%
2020/3/18	235	9159	5839.803629	0.637602755	4763	2357	2039	52%	26%	22%
2020/3/19	255	13977	8758.547837	0.62664004	6863	4102	3012	49%	29%	22%
2020/3/20	289	15982	9954.031541	0.622827652	7902	4453	3627	49%	28%	23%
2020/3/21	166	11281	7331.023672	0.649855835	5949	3053	2279	53%	27%	20%
2020/3/22	167	8512	5271.298374	0.619278474	4225	2275	2012	50%	27%	24%
2020/3/23	343	16619	10487.83969	0.631075256	8243	4831	3545	50%	29%	21%
2020/3/24	265	10457	6620.961312	0.633160688	5262	2958	2237	50%	28%	21%
2020/3/25	250	9032	5630.218515	0.623363432	4460	2514	2058	49%	28%	23%
2020/3/26	255	9585	6195.361024	0.646360044	4972	2701	1912	52%	28%	20%
2020/3/27	245	11256	7256.220708	0.644653581	5806	3244	2206	52%	29%	20%
2020/3/28	190	7814	4928.855788	0.630772433	3927	2160	1727	50%	28%	22%
2020/3/29	181	6779	4310.398605	0.635845789	3461	1840	1478	51%	27%	22%
2020/3/30	247	11763	7274.267328	0.618402391	5719	3329	2715	49%	28%	23%
2020/3/31	217	9207	5580.119397	0.606073574	4340	2653	2214	47%	29%	24%
2020/4/1	269	9595	6018.782773	0.627283249	4849	2537	2209	51%	26%	23%
2020/4/2	235	8265	5246.129788	0.634740446	4228	2208	1829	51%	27%	22%
2020/4/3	211	9382	5878.995429	0.626624966	4728	2475	2179	50%	26%	23%
2020/4/4	146	6486	4197.042584	0.647092597	3421	1690	1375	53%	26%	21%
2020/4/5	155	7062	4370.02001	0.618807705	3505	1852	1705	50%	26%	24%
2020/4/6	200	8588	5532.77577	0.644244966	4481	2282	1825	52%	27%	21%
2020/4/7	216	7747	4976.810494	0.642417774	4006	2112	1629	52%	27%	21%
2020/4/8	205	8043	5081.533236	0.631795752	4065	2231	1747	51%	28%	22%
2020/4/9	227	7966	4928.914393	0.618743961	3976	2106	1884	50%	26%	24%
2020/4/10	228	6561	4196.313384	0.639584421	3372	1804	1385	51%	27%	21%
2020/4/11	140	5488	3727.531162	0.679214862	3133	1377	978	57%	25%	18%
2020/4/12	126	5001	3332.111407	0.666289024	2764	1275	962	55%	25%	19%
2020/4/13	236	7877	5177.668046	0.65731472	4290	1967	1620	54%	25%	21%
2020/4/14	215	6527	4067.710684	0.623212913	3301	1654	1572	51%	25%	24%
2020/4/15	235	9112	5678.02049	0.623136577	4504	2531	2077	49%	28%	23%
2020/4/16	229	6243	3892.003068	0.62341872	3106	1661	1476	50%	27%	24%
2020/4/17	144	4110	2537.272201	0.617341168	2045	1075	990	50%	26%	24%
2020/4/18	126	4665	2932.844188	0.628691144	2410	1149	1106	52%	25%	24%
2020/4/19	127	4537	2939.866869	0.647975947	2454	1067	1016	54%	24%	22%
2020/4/20	199	6395	3967.083143	0.620341383	3096	1870	1429	48%	29%	22%
2020/4/21	184	5362	3398.223664	0.633760474	2695	1524	1143	50%	28%	21%
2020/4/22	198	6810	4416.110805	0.648474421	3517	1993	1300	52%	29%	19%
2020/4/23	209	5085	3274.698169	0.643991774	2593	1478	1014	51%	29%	20%
2020/4/24	189	6204	3962.917716	0.638768168	3085	1884	1235	50%	30%	20%
2020/4/25	125	3384	2039.353763	0.602645911	1549	1030	805	46%	30%	24%
2020/4/26	161	5070	3317.912658	0.654420643	2649	1486	935	52%	29%	18%
2020/4/27	184	5478	3595.734354	0.656395464	2883	1598	997	53%	29%	18%
2020/4/28	191	7034	4514.479651	0.64180831	3609	1952	1473	51%	28%	21%
2020/4/29	178	4780	3011.772298	0.630077887	2355	1444	981	49%	30%	21%
2020/4/30	192	5908	3755.572234	0.635675734	2977	1675	1256	50%	28%	21%
2020/5/1	121	5309	3395.815503	0.639633736	2677	1584	1048	50%	30%	20%
2020/5/2	88	4214	2682.17628	0.636491761	2086	1300	828	50%	31%	20%
2020/5/3	88	3501	2295.887045	0.655780361	1820	1048	633	52%	30%	18%
2020/5/4	78	2860	1850.321809	0.646965667	1459	862	539	51%	30%	19%
2020/5/5	109	4981	3178.590043	0.638142952	2406	1630	945	48%	33%	19%
2020/5/6	206	7511	4671.955073	0.622015054	3605	2270	1636	48%	30%	22%
2020/5/7	180	6690	4080.373627	0.609921319	3216	1874	1600	48%	28%	24%
2020/5/8	209	6503	4150.43244	0.638233498	3323	1757	1423	51%	27%	22%
2020/5/9	163	5487	3477.589063	0.633786962	2659	1718	1110	48%	31%	20%
2020/5/10	101	4321	2473.808338	0.572508294	1827	1332	1162	42%	31%	27%
2020/5/11	183	6020	3893.136918	0.646700485	3117	1666	1237	52%	28%	21%
2020/5/12	174	6219	3655.608273	0.587812876	2891	1594	1734	46%	26%	28%
2020/5/13	221	7033	4465.669539	0.634959411	3530	1990	1513	50%	28%	22%
2020/5/14	201	7867	5018.917396	0.637970941	3959	2306	1602	50%	29%	20%
2020/5/15	202	7389	4674.257341	0.632596744	3654	2154	1581	49%	29%	21%
2020/5/16	118	5953	3759.333177	0.631502297	2944	1745	1264	49%	29%	21%
2020/5/17	116	4851	3103.565618	0.639778524	2430	1436	985	50%	30%	20%
2020/5/18	218	7302	4691.873356	0.642546337	3736	2058	1508	51%	28%	21%
2020/5/19	199	5776	3589.493355	0.621449681	2900	1480	1396	50%	26%	24%
2020/5/20	195	5930	3787.868063	0.638763586	3110	1472	1348	52%	25%	23%
2020/5/21	201	5444	3561.433374	0.654194227	2912	1422	1110	53%	26%	20%
2020/5/22	198	6062	3986.541791	0.657628141	3238	1619	1205	53%	27%	20%
2020/5/23	115	2927	2039.891566	0.696922298	1705	741	481	58%	25%	16%
2020/5/24	111	4658	3030.183295	0.650533125	2452	1271	935	53%	27%	20%
2020/5/25	162	5885	3906.925219	0.663878542	3188	1559	1138	54%	26%	19%
2020/5/26	186	5169	3400.351721	0.657835504	2759	1362	1048	53%	26%	20%
2020/5/27	160	5954	3999.81654	0.671786453	3257	1652	1045	55%	28%	18%
2020/5/28	163	5197	3553.395965	0.683739843	2970	1329	898	57%	26%	17%
2020/5/29	193	6628	4515.265587	0.681241036	3780	1634	1214	57%	25%	18%
2020/5/30	141	5276	3578.41966	0.678244818	3019	1252	1005	57%	24%	19%
2020/5/31	116	4583	3092.982625	0.674881655	2582	1136	865	56%	25%	19%
