日期	文章数	文章总分数	情感均值	积极	中立	消极	积极	中立	消极
2020/3/17	675	570.3737407	0.844998134	567	9	98	84%	1%	15%
2020/3/18	664	567.2951466	0.854360161	563	10	87	85%	2%	13%
2020/3/19	692	594.6524014	0.859324279	590	11	89	85%	2%	13%
2020/3/20	610	537.0804484	0.880459752	532	10	63	87%	2%	10%
2020/3/21	181	169.3800979	0.935801646	169	1	10	93%	1%	6%
2020/3/22	166	139.3801417	0.839639408	139	3	22	84%	2%	13%
2020/3/23	539	457.6462757	0.849065446	454	8	69	84%	1%	13%
2020/3/24	589	514.4435789	0.87341864	511	5	70	87%	1%	12%
2020/3/25	537	453.3528347	0.844232467	450	5	76	84%	1%	14%
2020/3/26	527	451.2262799	0.85621685	447	6	70	85%	1%	13%
2020/3/27	514	437.1233803	0.850434592	435	5	70	85%	1%	14%
2020/3/28	192	163.5153314	0.851642351	162	3	27	84%	2%	14%
2020/3/29	99	79.57329214	0.803770628	79	1	18	80%	1%	18%
2020/3/30	542	464.6444684	0.857277617	462	5	67	85%	1%	12%
2020/3/31	468	394.3743322	0.842680197	394	2	69	84%	0%	15%
2020/4/1	589	505.8119235	0.858763877	501	7	77	85%	1%	13%
2020/4/2	591	515.7784447	0.872721565	512	6	68	87%	1%	12%
2020/4/3	682	609.5864433	0.893821764	607	6	67	89%	1%	10%
2020/4/4	152	136.097123	0.895375809	135	3	14	89%	2%	9%
2020/4/5	102	75.49809108	0.740177364	74	3	22	73%	3%	22%
2020/4/6	224	183.8205298	0.820627365	181	7	33	81%	3%	15%
2020/4/7	609	538.3442298	0.883980673	532	10	64	87%	2%	11%
2020/4/8	624	529.1871376	0.84805631	525	10	81	84%	2%	13%
2020/4/9	600	527.1448791	0.878574799	523	9	61	87%	2%	10%
2020/4/10	516	453.0058011	0.877918219	450	4	58	87%	1%	11%
2020/4/11	167	140.4472848	0.841001706	140	1	25	84%	1%	15%
2020/4/12	125	105.9801959	0.847841567	106	0	18	85%	0%	14%
2020/4/13	488	423.8136596	0.868470614	423	2	54	87%	0%	11%
2020/4/14	635	555.0544616	0.874101514	549	11	71	86%	2%	11%
2020/4/15	668	571.2209845	0.855121234	569	7	90	85%	1%	13%
2020/4/16	675	569.7747043	0.844110673	567	6	97	84%	1%	14%
2020/4/17	481	431.2147044	0.896496267	430	3	44	89%	1%	9%
2020/4/18	165	142.6695345	0.864663845	143	0	20	87%	0%	12%
2020/4/19	138	124.543421	0.902488558	123	3	10	89%	2%	7%
2020/4/20	639	544.1240155	0.851524281	541	7	88	85%	1%	14%
2020/4/21	730	591.3732894	0.810100396	586	9	127	80%	1%	17%
2020/4/22	688	550.0827033	0.799538813	547	5	128	80%	1%	19%
2020/4/23	643	534.3267367	0.830990259	531	6	100	83%	1%	16%
2020/4/24	545	454.3962548	0.833754596	453	3	86	83%	1%	16%
2020/4/25	224	191.3011678	0.85402307	190	2	29	85%	1%	13%
2020/4/26	313	255.7090587	0.816961849	253	5	52	81%	2%	17%
2020/4/27	672	580.3793548	0.863659754	577	6	81	86%	1%	12%
2020/4/28	670	573.0677352	0.855324978	567	12	85	85%	2%	13%
2020/4/29	544	451.0326087	0.82910406	448	5	89	82%	1%	16%
2020/4/30	602	514.2242582	0.85419312	509	11	80	85%	2%	13%
2020/5/1	158	127.3726381	0.806155938	126	3	29	80%	2%	18%
2020/5/2	116	99.63889	0.858955948	98	2	16	84%	2%	14%
2020/5/3	135	125.6431714	0.930690159	125	1	7	93%	1%	5%
2020/5/4	198	145.2780614	0.733727583	144	3	49	73%	2%	25%
2020/5/5	286	244.3534003	0.854382518	242	4	39	85%	1%	14%
2020/5/6	510	422.6389904	0.828703903	418	8	81	82%	2%	16%
2020/5/7	562	485.7392999	0.864304804	482	9	68	86%	2%	12%
2020/5/8	559	489.5623406	0.875782362	486	6	66	87%	1%	12%
2020/5/9	312	251.0114915	0.804524011	248	7	53	79%	2%	17%
2020/5/10	130	103.389099	0.795300761	101	4	20	78%	3%	15%
2020/5/11	551	461.4112955	0.83740707	458	7	73	83%	1%	13%
2020/5/12	645	534.9825202	0.829430264	531	8	100	82%	1%	16%
2020/5/13	662	559.3195365	0.84489356	556	5	94	84%	1%	14%
2020/5/14	647	569.2534338	0.879835292	567	4	68	88%	1%	11%
2020/5/15	590	539.8133603	0.914937899	537	5	40	91%	1%	7%
2020/5/16	215	196.4252568	0.913605846	195	2	17	91%	1%	8%
2020/5/17	110	94.43224545	0.858474959	94	2	13	85%	2%	12%
2020/5/18	610	566.7524469	0.929102372	565	5	36	93%	1%	6%
2020/5/19	569	507.2605609	0.891494835	505	6	49	89%	1%	9%
2020/5/20	681	612.8158152	0.899876381	610	5	64	90%	1%	9%
2020/5/21	541	500.2811504	0.924734104	499	3	37	92%	1%	7%
2020/5/22	488	445.0990357	0.912088188	445	1	37	91%	0%	8%
2020/5/23	169	154.2365635	0.912642387	154	0	12	91%	0%	7%
2020/5/24	95	77.25697055	0.813231269	77	1	16	81%	1%	17%
2020/5/25	524	491.4918747	0.937961593	490	2	29	94%	0%	6%
2020/5/26	608	556.7732622	0.915745497	557	1	48	92%	0%	8%
2020/5/27	581	521.5897122	0.897744771	520	3	46	90%	1%	8%
2020/5/28	528	492.0705464	0.931951792	489	7	29	93%	1%	5%
2020/5/29	540	481.1536853	0.891025343	479	4	53	89%	1%	10%
2020/5/30	184	160.8918944	0.874412469	161	0	18	88%	0%	10%
2020/5/31	160	140.529162	0.878307263	139	1	18	87%	1%	11%
